                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.7497,                 2.1265,                 2.4201,                0.26775,                0.47953,                0.29795,                0.17894,                 1.9224,                 3.5816,                  2.867,              0.0012819,              0.0012819,              0.0012819
                     54,                 1.6857,                 2.0985,                 2.3942,                0.32385,                0.45888,                0.33773,                 0.1904,                   1.83,                 3.7141,                 2.7575,               0.001279,               0.001279,               0.001279
                     55,                 1.7241,                 2.0821,                 2.4023,                0.53362,                0.42398,                0.38871,                0.23321,                 1.8809,                  3.358,                  2.809,              0.0012762,              0.0012762,              0.0012762
                     56,                 1.7002,                 2.0353,                 2.3778,                0.60386,                0.51754,                0.54054,                 0.2566,                 2.0606,                 3.4661,                 2.9313,              0.0012734,              0.0012734,              0.0012734
                     57,                 1.6536,                 2.0032,                 2.3256,                0.98408,                0.16667,                0.28997,                  0.207,                 1.8988,                 3.7368,                 2.8071,              0.0012706,              0.0012706,              0.0012706
                     58,                    1.7,                 1.9929,                 2.3776,                 0.7723,                0.44457,                0.49126,                0.28846,                 1.9962,                 3.2103,                 2.9817,              0.0012677,              0.0012677,              0.0012677
                     59,                 1.6729,                 1.9871,                 2.3376,                0.53986,                0.32262,                0.39086,                0.25051,                 1.9745,                 3.1858,                 2.9529,              0.0012649,              0.0012649,              0.0012649
                     60,                 1.7078,                 2.1519,                 2.3439,                0.56485,                0.31326,                0.40439,                0.24457,                 2.0125,                 3.2222,                 3.0097,              0.0012621,              0.0012621,              0.0012621
                     61,                   1.61,                 1.9798,                 2.2868,                0.33532,                0.46199,                0.53781,                0.33152,                 1.9472,                 3.0907,                 3.0017,              0.0012592,              0.0012592,              0.0012592
                     62,                 1.5695,                 1.9222,                 2.2501,                0.65011,                0.31385,                0.36767,                0.22744,                 1.8642,                 3.1197,                 2.9324,              0.0012564,              0.0012564,              0.0012564
                     63,                 1.6097,                 1.9713,                 2.2973,                0.61198,                   0.65,                0.66024,                0.34058,                 1.9789,                 3.1744,                 2.9553,              0.0012536,              0.0012536,              0.0012536
                     64,                 1.6938,                 1.9965,                 2.3609,                0.51879,                0.31585,                0.37183,                 0.1809,                 1.8163,                 3.5305,                 2.7648,              0.0012507,              0.0012507,              0.0012507
                     65,                 1.6504,                 2.0573,                 2.3185,                0.67523,                0.30031,                0.31926,                0.19935,                 1.7719,                 3.1916,                 2.7332,              0.0012479,              0.0012479,              0.0012479
                     66,                  1.597,                 1.9975,                 2.3156,                0.74253,                0.38889,                0.46474,                0.26253,                 1.9234,                 3.6926,                 3.0911,              0.0012451,              0.0012451,              0.0012451
                     67,                 1.5324,                 1.7854,                 2.2104,                0.76411,                0.38596,                0.50054,                0.29146,                 1.8351,                 3.3929,                 2.8802,              0.0012423,              0.0012423,              0.0012423
                     68,                 1.5881,                 1.8235,                 2.2592,                0.90776,                0.30702,                0.42503,                0.26959,                 1.8251,                 3.0558,                 2.9125,              0.0012394,              0.0012394,              0.0012394
                     69,                 1.5847,                 1.8478,                 2.2363,                0.42437,                0.37036,                0.40158,                 0.2141,                 1.9688,                 2.6445,                   2.98,              0.0012366,              0.0012366,              0.0012366
                     70,                 1.6328,                 1.8648,                 2.2946,                0.39704,                0.30117,                0.40778,                 0.2677,                 1.9458,                 3.2492,                 2.8926,              0.0012338,              0.0012338,              0.0012338
                     71,                 1.5168,                 1.7175,                 2.1994,                0.86899,                0.31287,                0.37304,                0.23165,                 1.9933,                 3.1787,                 3.1224,              0.0012309,              0.0012309,              0.0012309
                     72,                 1.5786,                 1.7591,                  2.262,                0.62665,                0.62899,                0.68041,                0.41633,                 2.0514,                 2.8041,                 3.1051,              0.0012281,              0.0012281,              0.0012281
                     73,                 1.5987,                  1.803,                 2.2755,                0.73744,                0.25146,                0.26268,                 0.1416,                 1.8376,                 3.4947,                 2.9089,              0.0012253,              0.0012253,              0.0012253
                     74,                 1.5461,                 1.8201,                 2.2659,                0.48476,                0.46491,                0.49128,                0.29103,                 1.8986,                  3.045,                  2.942,              0.0012225,              0.0012225,              0.0012225
                     75,                 1.5549,                 1.7689,                 2.2532,                0.46002,                0.37611,                0.38042,                0.21658,                  1.956,                 3.2901,                 2.9728,              0.0012196,              0.0012196,              0.0012196
                     76,                 1.5325,                 1.7685,                 2.2333,                0.80016,                0.31657,                0.36997,                0.20524,                 1.8526,                 3.4299,                 2.9253,              0.0012168,              0.0012168,              0.0012168
                     77,                 1.5483,                 1.7962,                 2.2316,                0.46754,                0.35387,                0.41459,                0.23399,                 1.9416,                 3.0394,                 2.9095,               0.001214,               0.001214,               0.001214
                     78,                 1.4871,                  1.742,                 2.1315,                0.94386,                0.24561,                0.37263,                0.22788,                 1.8739,                 2.9486,                 2.8905,              0.0012111,              0.0012111,              0.0012111
                     79,                  1.505,                 1.6583,                 2.1585,                0.43963,                0.49254,                0.54963,                0.31292,                 1.8945,                 3.2325,                 2.8989,              0.0012083,              0.0012083,              0.0012083
                     80,                 1.5237,                  1.712,                 2.1768,                0.50325,                0.52113,                0.51778,                0.30682,                 1.8995,                    3.2,                 2.9579,              0.0012055,              0.0012055,              0.0012055
                     81,                  1.513,                  1.661,                 2.1912,                0.58285,                0.50877,                0.54546,                0.33898,                 1.9201,                 2.9099,                 2.9349,              0.0012026,              0.0012026,              0.0012026
                     82,                 1.5656,                 1.7054,                 2.1926,                0.44998,                0.62446,                0.46697,                0.28245,                 1.9509,                 2.9925,                 3.0425,              0.0011998,              0.0011998,              0.0011998
                     83,                 1.5617,                 1.7921,                  2.194,                0.73427,                0.53801,                0.55269,                 0.3638,                 1.9067,                 2.8785,                 2.8815,               0.001197,               0.001197,               0.001197
                     84,                 1.4866,                 1.6338,                 2.1452,                0.23346,                 0.4152,                0.33618,                0.20751,                 1.8859,                 3.3167,                 2.9168,              0.0011942,              0.0011942,              0.0011942
                     85,                 1.4992,                 1.7428,                 2.1745,                0.25119,                0.53167,                0.34679,                0.23297,                 1.7284,                 3.2748,                 2.7798,              0.0011913,              0.0011913,              0.0011913
                     86,                 1.4835,                 1.6118,                 2.1934,                0.74702,                0.33142,                0.39154,                0.21477,                 1.7562,                 2.9746,                 2.7866,              0.0011885,              0.0011885,              0.0011885
                     87,                 1.4966,                 1.6534,                 2.1614,                0.54391,                0.53238,                0.48843,                0.29637,                  1.843,                 2.8255,                 2.8702,              0.0011857,              0.0011857,              0.0011857
                     88,                 1.4842,                 1.6389,                 2.1295,                0.38101,                0.54971,                0.52994,                0.35081,                 1.7714,                 2.5898,                 2.7764,              0.0011828,              0.0011828,              0.0011828
                     89,                 1.5044,                 1.6629,                  2.151,                0.66272,                0.70377,                0.61912,                0.40846,                 1.9122,                 2.6767,                 2.9667,                0.00118,                0.00118,                0.00118
                     90,                 1.4942,                 1.6485,                 2.1768,                0.39658,                 0.5614,                0.55745,                0.35752,                 1.7304,                 2.4824,                 2.8136,              0.0011772,              0.0011772,              0.0011772
                     91,                 1.4149,                 1.5825,                 2.0914,                0.87879,                  0.598,                0.75218,                0.52201,                 1.6832,                 3.2096,                 2.6617,              0.0011744,              0.0011744,              0.0011744
                     92,                 1.4299,                 1.4873,                 2.1065,                0.76857,                 0.6592,                0.72714,                0.45351,                  1.784,                 2.7484,                 2.8495,              0.0011715,              0.0011715,              0.0011715
                     93,                  1.434,                 1.6211,                 2.1214,                0.77183,                0.51647,                0.60427,                0.40473,                 1.7539,                 2.7801,                 2.8123,              0.0011687,              0.0011687,              0.0011687
                     94,                 1.4975,                 1.6093,                 2.1318,                0.62901,                0.73599,                0.55188,                0.37515,                 1.8342,                 2.8705,                 2.8308,              0.0011659,              0.0011659,              0.0011659
                     95,                 1.4414,                 1.5522,                 2.0951,                0.66649,                0.70468,                0.72738,                0.48707,                  1.765,                 2.7702,                 2.7517,               0.001163,               0.001163,               0.001163
